| Form     | Description                                    | Rules          | HasAmendment |
| SF-1MEF  | A new registration statement filed under Securities Act Rule 462(b) to add securities to a prior related effective registration statement filed on Form SF-1 | Rule 462(b) | True |
| SF-3     | Shelf registration statement for qualified offerings of asset-backed securities | NA | True |
| SF-3MEF  | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form SF-3 | Rule 462(b) | True |
| SH-ER    | Weekly Form SH Entries Report Filed by Institutional Investment Managers | NA | True |
| SH-NT    | Weekly Form SH Notice Report Filed by Institutional Investment Managers | NA | True |
| SP 15D2  | Special Financial Report filed under Rule 15d-2 | Rule 15d-2 | True |
| SPDSCL   | Specialized Disclosure | NA | True |
| SUPPL    | Voluntary supplemental material filed pursuant to Section 11(a) of the Securities Act of 1933 by foreign private issuers | Section 11(a) | True |
| T-3      |  Initial application for qualification of trust indentures    |            | True    |
| T-6      |  Application for determination of eligibility of a foreign person to act as institutional trustee    |            | True    |
| TA-1     |  Initial application for registration as a transfer agent    |            | True    |
| TA-2     |  Annual report filed by registered transfer agents    |            | True    |
| TA-W    |  Notice of withdrawal from registration as a transfer agent    |            | True    |
| UPLOAD   |  Submission of a file of documents in connection with a filing    |            | False    |
| UNDER | Initial undertaking to file reports |  | True |
|X-17A-5| Information Required of Brokers and Dealers by Rule 17a-5 | Rule 17a-5 | True |



